CheckSum,NumberOfBallotsWithOnlySubstitutesVotes,NumberOfBallotsWithOnlyTitularVotes,NumberOfBallotsWithTitularAndSubstitutesVotes,NumberOfHeaderVotes,kanton,name,niscode,validvotes
30081,7,211,44,341,SPECIAAL KANTON: BUZA ANTWERPEN,Open Vld,10999,603
78732,4,348,32,322,SPECIAAL KANTON: BUZA ANTWERPEN,N-VA,10999,706
12581,2,76,18,119,SPECIAAL KANTON: BUZA ANTWERPEN,VLAAMS BELANG,10999,215
42814,1,63,16,139,SPECIAAL KANTON: BUZA ANTWERPEN,CD&V,10999,219
11050,0,38,13,66,SPECIAAL KANTON: BUZA ANTWERPEN,PVDA,10999,117
41604,6,168,56,379,SPECIAAL KANTON: BUZA ANTWERPEN,GROEN,10999,609
91304,0,69,19,122,SPECIAAL KANTON: BUZA ANTWERPEN,sp.a,10999,210
710,0,3,2,10,SPECIAAL KANTON: BUZA ANTWERPEN,Volt,10999,15
10437,0,5,3,19,SPECIAAL KANTON: BUZA ANTWERPEN,DierAnimal,10999,27
285,0,3,1,2,SPECIAAL KANTON: BUZA ANTWERPEN,PV&S,10999,6
79,2,0,0,2,SPECIAAL KANTON: BUZA ANTWERPEN,D-SA,10999,4
126,0,1,2,6,SPECIAAL KANTON: BUZA ANTWERPEN,Piratenpartij,10999,9
55390,617,11593,1743,9336,KANTON ANTWERPEN,Open Vld,11002,23289
34119,668,51194,4128,24751,KANTON ANTWERPEN,N-VA,11002,80741
80106,1302,24171,3889,11647,KANTON ANTWERPEN,VLAAMS BELANG,11002,41009
56946,356,7775,1019,6239,KANTON ANTWERPEN,CD&V,11002,15389
57096,713,24622,3524,7185,KANTON ANTWERPEN,PVDA,11002,36044
12049,1958,25292,5005,15174,KANTON ANTWERPEN,GROEN,11002,47429
47908,1295,15303,2773,9381,KANTON ANTWERPEN,sp.a,11002,28752
278,29,253,47,169,KANTON ANTWERPEN,Volt,11002,498
16789,181,1666,279,1291,KANTON ANTWERPEN,DierAnimal,11002,3417
78963,468,1345,310,244,KANTON ANTWERPEN,PV&S,11002,2367
44922,1192,865,245,288,KANTON ANTWERPEN,D-SA,11002,2590
88547,224,855,187,726,KANTON ANTWERPEN,Piratenpartij,11002,1992
76245,78,1614,231,1627,KANTON BOOM,Open Vld,11005,3550
49757,84,7403,578,4149,KANTON BOOM,N-VA,11005,12214
92454,140,5239,664,2822,KANTON BOOM,VLAAMS BELANG,11005,8865
90623,240,1822,592,1586,KANTON BOOM,CD&V,11005,4240
10928,55,1740,250,855,KANTON BOOM,PVDA,11005,2900
42889,90,1816,301,1286,KANTON BOOM,GROEN,11005,3493
47895,104,2022,348,1926,KANTON BOOM,sp.a,11005,4400
1175,6,26,9,17,KANTON BOOM,Volt,11005,58
27821,19,242,30,200,KANTON BOOM,DierAnimal,11005,491
89,15,32,8,6,KANTON BOOM,PV&S,11005,61
13704,26,23,8,25,KANTON BOOM,D-SA,11005,82
90820,31,133,21,119,KANTON BOOM,Piratenpartij,11005,304
64036,160,2239,512,2292,KANTON BRECHT,Open Vld,11009,5203
53232,140,15066,1035,7103,KANTON BRECHT,N-VA,11009,23344
4982,284,8637,1141,3797,KANTON BRECHT,VLAAMS BELANG,11009,13859
87855,331,4952,1139,3242,KANTON BRECHT,CD&V,11009,9664
9725,26,2049,212,1149,KANTON BRECHT,PVDA,11009,3436
30544,138,2105,366,2090,KANTON BRECHT,GROEN,11009,4699
69281,212,1336,273,1823,KANTON BRECHT,sp.a,11009,3644
1141,2,32,4,19,KANTON BRECHT,Volt,11009,57
33085,48,386,38,307,KANTON BRECHT,DierAnimal,11009,779
112,6,20,5,6,KANTON BRECHT,PV&S,11009,37
87,23,6,1,10,KANTON BRECHT,D-SA,11009,40
