units,kg
goal,84.0000
height,183.0000
2014-08-09,84.7000
2014-08-10,84.6000
2014-08-11,84.0000
2014-08-12,83.5000
2014-08-14,83.8000
2014-08-15,84.0000
2014-08-16,84.0000
2014-08-17,84.6000
2014-08-18,84.4000
2014-08-19,85.0000
2014-08-20,83.9000
2014-08-21,83.3000
2014-08-22,83.0000
2014-08-23,83.7000
2014-08-25,83.9000
2014-08-26,83.2000
2014-08-27,83.5000
2014-08-28,83.8000
2014-08-29,83.3000
2014-08-30,82.7000
2014-08-31,82.0000
2014-09-01,82.9000
2014-09-02,83.3000
2014-09-03,83.3000
2014-09-04,82.7000
2014-09-05,82.9000
2014-09-06,83.4000
2014-09-07,82.9000
2014-09-08,83.0000
2014-09-09,82.7000
2014-09-10,83.0000
2014-09-11,82.5000
2014-09-12,82.6000
2014-09-13,82.8000
2014-09-15,82.9000
2014-09-16,82.3000
2014-09-17,82.3000
2014-09-18,82.7000
2014-09-19,83.0000
2014-09-22,83.3000
2014-09-23,83.0000
2014-09-24,83.1000
2014-09-25,83.5000
2014-09-26,82.4000
2014-09-27,82.6000
2014-09-29,82.3000
2014-09-30,83.0000
2014-10-01,82.6000
2014-10-02,82.8000
2014-10-03,82.7000
2014-10-04,82.8000
2014-10-05,82.2000
2014-10-06,82.1000
2014-10-07,82.9000
2014-10-08,81.7000
2014-10-09,81.3000
2014-10-10,81.1000
2014-10-11,80.9000
2014-10-13,81.2000
2014-10-15,81.1000
2014-10-16,83.1000
2014-10-17,82.5000
2014-10-19,82.5000
2014-10-20,82.0000
2014-10-21,81.9000
2014-10-22,81.9000
2014-10-23,82.5000
2014-10-26,82.9000
2014-10-27,83.0000
2014-10-28,83.6000
2014-10-29,82.6000
2014-10-30,82.5000
2014-11-01,82.9000
2014-11-03,83.4000
2014-11-04,83.0000
2014-11-06,82.8000
2014-11-08,82.3000
2014-11-09,82.7000
2014-11-10,82.7000
2014-11-11,83.0000
2014-11-12,82.7000
2014-11-14,82.8000
2014-11-17,82.7000
2014-11-18,82.8000
2014-11-20,82.6000
2014-11-21 07:25:02,82.8000
2014-11-22 13:06:31,82.8000
2014-11-24 07:05:00,83.0000
2014-11-25 09:33:57,82.6000
2014-11-26 08:41:47,82.4000
2014-11-27 07:54:47,82.2000
2014-11-28 16:51:23,82.1000
2014-11-30 09:57:40,82.4000
2014-12-06 10:59:01,82.6000
2014-12-08 06:44:32,83.0000
2014-12-12 08:53:06,83.2000
2014-12-14 09:27:36,83.4000
2014-12-15 07:53:53,83.2000
2014-12-16 08:58:10,82.6000
2014-12-17 08:10:03,83.0000
2014-12-22 22:11:05,83.1000
2014-12-24 07:53:00,83.7000
2014-12-28 11:12:41,84.0000
2014-12-30 14:34:43,84.0000
2015-01-01 14:46:03,84.5000
2015-01-02 10:21:47,84.6000
2015-01-03 06:55:55,84.2000
2015-01-05 10:55:14,84.6000
2015-01-06 07:38:05,83.9000
2015-01-07 07:43:53,83.9000
2015-01-08 09:02:47,83.5000
2015-01-09 08:33:20,84.2000
2015-01-10 10:50:12,84.2000
2015-01-12 07:54:53,84.2000
2015-01-13 07:20:17,83.8000
2015-01-15 09:03:23,84.2000
2015-01-26 12:55:32,84.4000
2015-01-28 09:10:24,84.2000
2015-01-30 08:52:40,83.5000
2015-01-31 18:02:18,82.5000
2015-02-01 10:04:17,83.5000
2015-02-02 07:56:46,84.0000
2015-02-03 06:50:53,83.9000
2015-02-04 08:17:20,83.5000
2015-02-05 09:36:43,82.9000
2015-02-06 08:52:09,84.1000
2015-02-07 07:56:07,84.2000
2015-02-09 08:17:12,85.0000
2015-02-11 09:55:44,84.1000
2015-02-12 07:25:41,84.2000
2015-02-13 07:28:29,83.8000
2015-02-14 08:31:13,83.4000
2015-02-16 07:56:40,84.2000
2015-02-18 08:07:14,83.8000
2015-02-20 07:49:03,84.8000
2015-02-22 13:21:38,84.3000
2015-02-27 07:55:34,84.4000
2015-03-02 08:14:53,84.4000
2015-03-03 07:54:43,84.3000
2015-03-06 14:33:55,84.4000
2015-03-09 08:01:16,85.7000
2015-03-10 07:43:55,84.3000
2015-03-12 07:55:53,84.4000
2015-03-13 06:41:31,84.8000
2015-03-14 08:04:57,83.8000
2015-03-15 10:31:43,84.4000
2015-03-16 08:08:07,84.4000
2015-03-17 09:51:38,84.4000
2015-03-18 08:08:40,83.9000
2015-03-19 08:57:58,83.9000
2015-03-20 10:34:54,84.0000
2015-03-25 08:03:43,83.7000
2015-03-26 13:45:57,84.0000
2015-04-02 08:39:56,84.1000
2015-04-06 08:39:27,83.6000
2015-04-13 10:01:10,84.1000
2015-04-14 07:46:44,83.5000
2015-04-30 07:23:00,84.8000
2015-05-01 08:16:52,84.0000
2015-05-03 09:35:12,84.3000
2015-05-04 07:06:50,84.4000
2015-05-05 06:42:34,83.5000
2015-05-06 07:53:19,83.4000
2015-05-07 06:52:25,83.7000
2015-05-08 08:38:23,84.0000
2015-05-09 09:53:56,84.0000
2015-05-11 06:57:02,85.0000
2015-05-13 06:44:31,85.1000
2015-05-16 09:54:31,84.1000
2015-05-17 07:50:51,83.9000
2015-05-25 09:27:02,83.6000
2015-05-26 07:47:40,84.2000
2015-06-22 07:42:46,85.3000
2015-06-23 17:43:01,85.1000
2015-06-26 08:20:25,85.0000
2015-08-05 08:29:40,84.9000
2015-08-06 22:18:29,85.5000
2015-08-08 10:10:44,85.2000
2015-08-10 22:01:20,84.6000
2015-08-11 07:13:32,84.9000
2015-08-12 17:15:41,86.0000
2015-08-14 06:18:57,85.8000
2015-08-15 12:02:02,84.6000
2015-08-16 09:28:05,84.8000
2015-08-17 07:56:31,85.2000
2015-08-20 07:41:02,85.5000
2015-08-22 10:11:34,85.7000
2015-08-23 09:26:28,85.8000
2015-08-24 07:10:55,86.3000
2015-08-27 07:28:57,85.3000
2015-08-28 07:06:45,85.3000
2015-08-31 07:54:16,86.4000
2015-09-07 07:15:33,85.1000
2015-09-08 07:29:10,84.4000
2015-09-09 08:14:04,85.4000
2015-09-12 09:58:20,85.5000
2015-09-13 08:36:04,84.9000
2015-09-15 07:21:33,84.4000
2015-09-16 09:22:44,85.4000
2015-09-17 07:39:59,86.0000
2015-09-19 09:30:02,84.2000
2015-11-09 10:56:54,90.0000
2015-11-10 10:32:13,90.0000
2015-11-11 08:50:33,89.2000
2015-11-14 08:52:11,88.4000
2015-11-21 08:41:07,89.5000
2015-11-30 06:26:03,89.1000
2015-12-07 05:38:06,88.9000
2016-01-05 06:55:51,89.3000
2016-01-06 07:50:02,89.0000
2016-01-07 08:02:18,89.4000
2016-01-08 08:11:56,89.2000
2016-01-10 09:22:53,89.4000
2016-01-11 07:30:12,89.7000
2016-01-12 07:36:32,89.2000
2016-01-13 08:18:27,88.9000
2016-01-14 08:33:06,89.0000
2016-01-15 07:58:04,88.5000
2016-01-16 08:04:07,89.1000
2016-01-17 09:44:18,89.7000
2016-01-18 06:59:06,89.7000
2016-01-19 07:50:33,88.8000
